Year,Series,Unit,Value
2016,Climate finance provided and mobilised in 2013-2022 per component and sub-component (Amounts in USD billion),percentage(%),58.5
2017,Climate finance provided and mobilised in 2013-2023 per component and sub-component (Amounts in USD billion),percentage(%),71.6
2018,Climate finance provided and mobilised in 2013-2024 per component and sub-component (Amounts in USD billion),percentage(%),79.9
2019,Climate finance provided and mobilised in 2013-2025 per component and sub-component (Amounts in USD billion),percentage(%),80.4
2020,Climate finance provided and mobilised in 2013-2026 per component and sub-component (Amounts in USD billion),percentage(%),83.3
2021,Climate finance provided and mobilised in 2013-2027 per component and sub-component (Amounts in USD billion),percentage(%),89.6
2022,Climate finance provided and mobilised in 2013-2028 per component and sub-component (Amounts in USD billion),percentage(%),115.9
